impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K18-114518,A577420,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1944937,LOST,Bacardi,Cat,,Female,Maine Coon,Unknown,12/25/2018 12:00:00 AM,Date Lost,EAST MERCER AND SE 39TH ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1944937,Image Copyright HLP Inc. 2019,,
K18-114509,A577413,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1944750,LOST,Bolderdash,Dog,,Male,American Pit Bull Terrier,Unknown,12/24/2018 12:00:00 AM,Date Lost,24400 TERRACE PL,BLACK DIAMOND,WA,98010,BLACK DIAMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1944750,Image Copyright HLP Inc. 2019,,
K18-114417,A577089,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1943386,LOST,Smooky,Cat,,Female,Domestic Shorthair,Unknown,12/19/2018 12:00:00 AM,Date Lost,140TH AND 108TH AVE NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1943386,Image Copyright HLP Inc. 2019,,
K17-104325,A533907,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Hera,Cat,11 YEARS -1 MONTHS,Spayed Female,Domestic Shorthair,Calico,10/28/2017 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,SEATTLE,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A533907,Image Copyright HLP Inc. 2019,"Received on: 2017-10-28<p/> Description: Calico Spayed Female Domestic Shorthair Cat<p/> Age: 11 YEARS -1 MONTHS<p/> Current Location: In RASKC Foster Home <p/>My name is Hera and I am an 11 year old calico, short haired, spayed female cat. I ended up at the shelter through no fault of my own and now I am looking for a forever home.<p/><p/>I am a very sweet and friendly girl.  I love, love, love attention and will come to seek you out.  I get along well with other cats, even when they get in my face, I still stay chill. I love to be petted and brushed too.<p/><p/>I am litterbox trained, have all my vaccinations and I'm microchipped, so I will not get lost again.  I am an easy going girl who really just wants to find my forever friend.  Please come to see me, you won't be disappointed.<p/><p/>A veterinarian has diagnosed or tentatively diagnosed the above-described pet with the following condition(s):<p/><p/>1)     Hera has been diagnosed with hyperthyroidism; excess production of thyroid hormone.  Hyperthyroidism can cause weight loss, vocalization, increased urine production and heart disease.  This condition is being managed with daily medication.  Other treatment options may be available, including radioactive iodine treatment or prescription diet.  Periodic blood testing to monitor thyroid levels is needed.  Please follow up with you regular veterinarian to create a treatment plan.  An educational handout is provided.<p/><p/>2)     Hera has had mild recurring upper respiratory infections.<p/><p/><p/>As a result of these conditions, your pet may need specialized care consisting of any or all of the below.  Please note this is not intended to be an exhaustive list.<p/><p/>- Special diet or prescription foods<p/>- Prescription or over-the-counter medicines<p/>- Special skin care or shampoos<p/>- Regular veterinarian visits, which may include blood tests or other monitoring<p/>- Possible surgery or other procedures as determined by your veterinarian<p/><p/>Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/>",
K18-114546,A577482,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1945670,LOST,Weeble,Cat,,Female,American Shorthair,Unknown,12/26/2018 12:00:00 AM,Date Lost,25200 106TH AVE SE,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1945670,Image Copyright HLP Inc. 2019,,
K18-114587,A577542,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1946408,LOST,Simon,Cat,,Male,Domestic Shorthair,Unknown,12/23/2018 12:00:00 AM,Date Lost,178TH STREET AND MILITARY RD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1946408,Image Copyright HLP Inc. 2019,,
K18-114562,A577518,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1946057,In Public Home,,Cat,,Male,Domestic Mediumhair,Black,12/26/2018 12:00:00 AM,Date Found,1000 N 36TH ST,SEATTLE,WA,98103,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1946057,Image Copyright HLP Inc. 2019,,
K18-114571,A577527,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1946181,LOST,Oreo,Dog,,Male,Maltese,Unknown,12/18/2018 12:00:00 AM,Date Lost,15900 DES MOINES MEMORIAL DR S,BURIEN,WA,98148,BURIEN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1946181,Image Copyright HLP Inc. 2019,,
K18-114382,A576808,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1942324,LOST,Blanco,Cat,,Male,Siamese,Unknown,12/15/2018 12:00:00 AM,Date Lost,14600 SE 170TH PL,RENTON,WA,98058,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1942324,Image Copyright HLP Inc. 2019,,
K18-114573,A577529,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1946189,LOST,Lucy,Dog,,Female,Rat Terrier,Unknown,12/28/2018 12:00:00 AM,Date Lost,18900 178TH PL SE,RENTON,WA,98058,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1946189,Image Copyright HLP Inc. 2019,,
